Symbol,Name
109,ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest
110,ACVA,ACV Auctions Inc. Class A Common Stock
111,ACXP,Acurx Pharmaceuticals Inc. Common Stock
112,ACY,AeroCentury Corp. Common Stock
113,ADAG,Adagene Inc. American Depositary Shares
114,ADALU,Anthemis Digital Acquisitions I Corp Unit
115,ADAP,Adaptimmune Therapeutics plc American Depositary Shares
116,ADBE,Adobe Inc. Common Stock
117,ADC,Agree Realty Corporation Common Stock
118,ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock
119,ADCT,ADC Therapeutics SA Common Shares
120,ADER,26 Capital Acquisition Corp. Class A Common Stock
121,ADERW,26 Capital Acquisition Corp. Warrant
122,ADES,Advanced Emissions Solutions Inc. Common Stock
123,ADEX,Adit EdTech Acquisition Corp. Common Stock
124,ADGI,Adagio Therapeutics Inc. Common Stock
125,ADI,Analog Devices Inc. Common Stock
126,ADIL,Adial Pharmaceuticals Inc Common Stock
127,ADILW,Adial Pharmaceuticals Inc Warrant
128,ADM,Archer-Daniels-Midland Company Common Stock
129,ADMA,ADMA Biologics Inc Common Stock
130,ADMP,Adamis Pharmaceuticals Corporation Common Stock
131,ADN,Advent Technologies Holdings Inc. Class A Common Stock
132,ADNT,Adient plc Ordinary Shares 
133,ADNWW,Advent Technologies Holdings Inc. Warrant
134,ADOC,Edoc Acquisition Corp. Class A Ordinary Share
135,ADOCR,Edoc Acquisition Corp. Right
136,ADOCW,Edoc Acquisition Corp. Warrant
137,ADP,Automatic Data Processing Inc. Common Stock
138,ADPT,Adaptive Biotechnologies Corporation Common Stock
139,ADRA,Adara Acquisition Corp. Class A Common Stock
140,ADS,Alliance Data Systems Corporation Common Stock
141,ADSE,ADS-TEC ENERGY PLC Ordinary Shares
142,ADSK,Autodesk Inc. Common Stock
143,ADT,ADT Inc. Common Stock
144,ADTH,AdTheorent Holding Company Inc. Common Stock
145,ADTHW,AdTheorent Holding Company Inc. Warrants
146,ADTN,ADTRAN Inc. Common Stock
147,ADTX,Aditxt Inc. Common Stock
148,ADUS,Addus HomeCare Corporation Common Stock
149,ADV,Advantage Solutions Inc. Class A Common Stock
