Symbol,Name
909,BCS,Barclays PLC Common Stock
910,BCSAU,Blockchain Coinvestors Acquisition Corp. I Unit
911,BCSF,Bain Capital Specialty Finance Inc. Common Stock
912,BCTX,BriaCell Therapeutics Corp. Common Shares
913,BCTXW,BriaCell Therapeutics Corp. Warrant
914,BCV,Bancroft Fund Ltd.
915,BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares
916,BCX,BlackRock Resources Common Shares of Beneficial Interest
917,BCYC,Bicycle Therapeutics plc American Depositary Shares
918,BDC,Belden Inc Common Stock
919,BDJ,Blackrock Enhanced Equity Dividend Trust
920,BDL,Flanigan's Enterprises Inc. Common Stock
921,BDN,Brandywine Realty Trust Common Stock
922,BDR,Blonder Tongue Laboratories Inc. Common Stock
923,BDSI,BioDelivery Sciences International Inc. Common Stock
924,BDSX,Biodesix Inc. Common Stock
925,BDTX,Black Diamond Therapeutics Inc. Common Stock
926,BDX,Becton Dickinson and Company Common Stock
927,BDXB,Becton Dickinson and Company Depositary Shares each Representing a 1/20th Interest in a Share of 6.00% Mandatory Convertible Preferred Stock Series B
928,BE,Bloom Energy Corporation Class A Common Stock
929,BEAM,Beam Therapeutics Inc. Common Stock
930,BEAT,Heartbeam Inc. Common Stock
931,BEATW,Heartbeam Inc. Warrant
932,BECN,Beacon Roofing Supply Inc. Common Stock
933,BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing one Class A Ordinary Share
934,BEEM,Beam Global Common Stock
935,BEEMW,Beam Global Warrant
936,BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)
937,BELFA,Bel Fuse Inc. Class A Common Stock
938,BELFB,Bel Fuse Inc. Class B Common Stock
939,BEN,Franklin Resources Inc. Common Stock
940,BENE,Benessere Capital Acquisition Corp. Class A Common Stock
941,BENER,Benessere Capital Acquisition Corp. Right
942,BENEU,Benessere Capital Acquisition Corp. Unit
943,BENEW,Benessere Capital Acquisition Corp. Warrant
944,BEP,Brookfield Renewable Partners L.P. 
945,BEP^A,Brookfield Renewable Partners L.P. 5.25% Class A Preferred Limited Partnership Units Series 17
946,BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares 
947,BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes
948,BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes
949,BERY,Berry Global Group Inc. Common Stock
950,BEST,BEST Inc. American Depositary Shares each representing one Class A Ordinary Share
951,BF/A,Brown Forman Corporation
952,BF/B,Brown Forman Corporation
953,BFAM,Bright Horizons Family Solutions Inc. Common Stock
954,BFC,Bank First Corporation Common Stock
955,BFI,BurgerFi International Inc. Common Stock 
956,BFIIW,BurgerFi International Inc. Warrant 
957,BFIN,BankFinancial Corporation Common Stock
958,BFK,BlackRock Municipal Income Trust
959,BFLY,Butterfly Network Inc. Class A Common Stock
960,BFRA,Biofrontera AG American Depositary Shares
961,BFRI,Biofrontera Inc. Common Stock
962,BFRIW,Biofrontera Inc. Warrants
963,BFS,Saul Centers Inc. Common Stock
964,BFS^E,Saul Centers Inc. Depositary shares each representing a 1/100th fractional interest in a share of 6.000% Series E Cumulative Redeemable Preferred Stock
965,BFST,Business First Bancshares Inc. Common Stock
966,BFZ,BlackRock California Municipal Income Trust
967,BG,Bunge Limited Bunge Limited
968,BGB,Blackstone Strategic Credit Fund Common Shares
969,BGCP,BGC Partners Inc Class A Common Stock
970,BGFV,Big 5 Sporting Goods Corporation Common Stock
971,BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests
972,BGI,Birks Group Inc. Common Stock
973,BGNE,BeiGene Ltd. American Depositary Shares
974,BGR,BlackRock Energy and Resources Trust
975,BGRY,Berkshire Grey Inc. Class A Common Stock
976,BGRYW,Berkshire Grey Inc. Warrant
977,BGS,B&G Foods Inc. B&G Foods Inc. Common Stock
978,BGSF,BGSF Inc. Common Stock
979,BGSX,Build Acquisition Corp. Class A Common Stock
980,BGT,BlackRock Floating Rate Income Trust
981,BGX,Blackstone Long Short Credit Income Fund Common Shares
982,BGY,Blackrock Enhanced International Dividend Trust
983,BH,Biglari Holdings Inc. Class B Common Stock
984,BHAC,Crixus BH3 Acquisition Company Class A Common Stock
985,BHACU,Crixus BH3 Acquisition Company Units
986,BHACW,Crixus BH3 Acquisition Company Warrants
987,BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares
988,BHB,Bar Harbor Bankshares Inc. Common Stock
989,BHC,Bausch Health Companies Inc. Common Stock
990,BHE,Benchmark Electronics Inc. Common Stock
991,BHF,Brighthouse Financial Inc. Common Stock
992,BHFAL,Brighthouse Financial Inc. 6.25% Junior Subordinated Debentures due 2058
993,BHFAM,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock Series D
994,BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C
995,BHFAO,Brighthouse Financial Inc. Depositary Shares 6.75% Non-Cumulative Preferred Stock Series B
996,BHFAP,Brighthouse Financial Inc. Depositary Shares 6.6% Non-Cumulative Preferred Stock Series A
997,BHG,Bright Health Group Inc. Common Stock
998,BHIL,Benson Hill Inc. Common Stock
999,BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust
1000,BHLB,Berkshire Hills Bancorp Inc. Common Stock
1001,BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)
1002,BHR,Braemar Hotels & Resorts Inc. Common Stock
1003,BHR^B,Braemar Hotels & Resorts Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share
1004,BHR^D,Braemar Hotels & Resorts Inc. 8.25% Series D Cumulative Preferred Stock  par value $0.01 per share
1005,BHSE,Bull Horn Holdings Corp. Ordinary Shares
1006,BHSEW,Bull Horn Holdings Corp. Warrants
1007,BHV,BlackRock Virginia Municipal Bond Trust
1008,BHVN,Biohaven Pharmaceutical Holding Company Ltd. Common Shares
1009,BIDU,Baidu Inc. ADS
1010,BIF,Boulder Growth & Income Fund Inc.
1011,BIG,Big Lots Inc. Common Stock
1012,BIGC,BigCommerce Holdings Inc. Series 1 Common Stock
1013,BIGZ,BlackRock Innovation and Growth Trust Common Shares of Beneficial Interest
1014,BIIB,Biogen Inc. Common Stock
1015,BILI,Bilibili Inc. American Depositary Shares
1016,BILL,Bill.com Holdings Inc. Common Stock
1017,BIMI,BIMI International Medical Inc. Common Stock
1018,BIO,Bio-Rad Laboratories Inc. Class A Common Stock
1019,BIO/B,Bio-Rad Laboratories Inc.
1020,BIOC,Biocept Inc. Common Stock
1021,BIOL,Biolase Inc. Common Stock
1022,BIOSU,BioPlus Acquisition Corp. Unit
1023,BIOT,Biotech Acquisition Company Class A Ordinary Shares
1024,BIOTU,Biotech Acquisition Company Unit
1025,BIOTW,Biotech Acquisition Company Warrant
1026,BIOX,Bioceres Crop Solutions Corp. Ordinary Shares
1027,BIP,Brookfield Infrastructure Partners LP Limited Partnership Units
1028,BIP^A,Brookfield Infrastructure Partners LP 5.125% Class A Preferred Limited Partnership Units Series 13
1029,BIP^B,Brookfield Infrastructure Partners LP 5.000% Class A Preferred Limited Partnership Units Series 14
1030,BIPC,Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares 
1031,BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081
1032,BIRD,Allbirds Inc. Class A Common Stock
1033,BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest
1034,BITE,Bite Acquisition Corp. Common Stock
1035,BITF,Bitfarms Ltd. Common Stock
1036,BIVI,BioVie Inc. Class A Common Stock
1037,BJ,BJ's Wholesale Club Holdings Inc. Common Stock
1038,BJDX,Bluejay Diagnostics Inc. Common Stock
1039,BJRI,BJ's Restaurants Inc. Common Stock
1040,BK,The Bank of New York Mellon Corporation Common Stock
1041,BKCC,BlackRock Capital Investment Corporation Common Stock
1042,BKD,Brookdale Senior Living Inc. Common Stock
1043,BKE,Buckle Inc. (The) Common Stock
1044,BKEP,Blueknight Energy Partners L.P. Common Units
1045,BKEPP,Blueknight Energy Partners L.P. Series A Preferred Units
1046,BKH,Black Hills Corporation Common Stock
1047,BKI,Black Knight Inc. Common Stock 
1048,BKKT,Bakkt Holdings Inc. Class A Common Stock
1049,BKN,BlackRock Investment Quality Municipal Trust Inc. (The)
1050,BKNG,Booking Holdings Inc. Common Stock
1051,BKR,Baker Hughes Company Class A Common Stock
1052,BKSC,Bank of South Carolina Corp. Common Stock
1053,BKSY,BlackSky Technology Inc. Class A Common Stock
1054,BKT,BlackRock Income Trust Inc. (The)
1055,BKTI,BK Technologies Corporation Common Stock
1056,BKU,BankUnited Inc. Common Stock
1057,BKYI,BIO-key International Inc. Common Stock
1058,BL,BlackLine Inc. Common Stock
1059,BLBD,Blue Bird Corporation Common Stock
1060,BLBX,Blackboxstocks Inc. Common Stock
1061,BLCM,Bellicum Pharmaceuticals Inc. Common Stock
1062,BLCT,BlueCity Holdings Limited American Depositary Shares
1063,BLD,TopBuild Corp. Common Stock
1064,BLDE,Blade Air Mobility Inc. Class A Common Stock
1065,BLDEW,Blade Air Mobility Inc. Warrants
1066,BLDP,Ballard Power Systems Inc. Common Shares
1067,BLDR,Builders FirstSource Inc. Common Stock
1068,BLE,BlackRock Municipal Income Trust II
1069,BLEUU,bleuacacia ltd Unit
1070,BLFS,BioLife Solutions Inc. Common Stock
1071,BLFY,Blue Foundry Bancorp Common Stock
1072,BLI,Berkeley Lights Inc. Common Stock
1073,BLIN,Bridgeline Digital Inc. Common Stock
1074,BLK,BlackRock Inc. Common Stock
1075,BLKB,Blackbaud Inc. Common Stock
1076,BLL,Ball Corporation Common Stock
1077,BLMN,Bloomin' Brands Inc. Common Stock
1078,BLND,Blend Labs Inc. Class A Common Stock
1079,BLNG,Belong Acquisition Corp. Class A Common Stock
1080,BLNGU,Belong Acquisition Corp. Units
1081,BLNGW,Belong Acquisition Corp. Warrant
1082,BLNK,Blink Charging Co. Common Stock
1083,BLNKW,Blink Charging Co. Warrant
1084,BLPH,Bellerophon Therapeutics Inc. Common Stock
1085,BLRX,BioLineRx Ltd. American Depositary Shares
1086,BLTS,Bright Lights Acquisition Corp. Class A Common Stock
1087,BLTSU,Bright Lights Acquisition Corp. Unit
1088,BLTSW,Bright Lights Acquisition Corp. Warrant
1089,BLU,BELLUS Health Inc. Common Shares
1090,BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares
1091,BLUE,bluebird bio Inc. Common Stock
1092,BLW,Blackrock Limited Duration Income Trust
1093,BLX,Banco Latinoamericano de Comercio Exterior S.A.
1094,BLZE,Backblaze Inc. Class A Common Stock
1095,BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares)
1096,BMAC,Black Mountain Acquisition Corp. Class A Common Stock
1097,BMAQ,Blockchain Moon Acquisition Corp. Common Stock
1098,BMAQR,Blockchain Moon Acquisition Corp. Rights
1099,BMAQU,Blockchain Moon Acquisition Corp. Units
1100,BMAQW,Blockchain Moon Acquisition Corp. Warrants
1101,BMBL,Bumble Inc. Class A Common Stock
1102,BME,Blackrock Health Sciences Trust
1103,BMEA,Biomea Fusion Inc. Common Stock
1104,BMEZ,BlackRock Health Sciences Trust II Common Shares of Beneficial Interest
1105,BMI,Badger Meter Inc. Common Stock
1106,BML^G,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock  Series 1)
1107,BML^H,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 2)
1108,BML^J,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 4)
1109,BML^L,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 5)
1110,BMO,Bank Of Montreal Common Stock
1111,BMRA,Biomerica Inc. Common Stock
1112,BMRC,Bank of Marin Bancorp Common Stock
1113,BMRN,BioMarin Pharmaceutical Inc. Common Stock
1114,BMTC,Bryn Mawr Bank Corporation Common Stock
1115,BMTX,BM Technologies Inc. Common Stock
1116,BMY,Bristol-Myers Squibb Company Common Stock
1117,BNED,Barnes & Noble Education Inc Common Stock
1118,BNFT,Benefitfocus Inc. Common Stock
1119,BNGO,Bionano Genomics Inc. Common Stock
1120,BNGOW,Bionano Genomics Inc. Warrant
1121,BNIX,Bannix Acquisition Corp. Common Stock
1122,BNIXR,Bannix Acquisition Corp. Right
1123,BNIXW,Bannix Acquisition Corp. Warrant
1124,BNL,Broadstone Net Lease Inc. Common Stock
1125,BNNR,Banner Acquisition Corp. Class A Common Stock
1126,BNNRU,Banner Acquisition Corp. Units
1127,BNOX,Bionomics Limited American Depository Shares
1128,BNR,Burning Rock Biotech Limited American Depositary Shares
1129,BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares
1130,BNSO,Bonso Electronics International Inc. Common Stock
1131,BNTC,Benitec Biopharma Inc. Common Stock
1132,BNTX,BioNTech SE American Depositary Share
1133,BNY,BlackRock New York Municipal Income Trust
1134,BOAC,Bluescape Opportunities Acquisition Corp. Class A Ordinary Shares
1135,BOAS,BOA Acquisition Corp. Class A Common Stock
1136,BOCNU,Blue Ocean Acquisition Corp Unit
1137,BODY,The Beachbody Company Inc. Class A Common Stock
1138,BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest
1139,BOH,Bank of Hawaii Corporation Common Stock
1140,BOH^A,Bank of Hawaii Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 4.375% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A
1141,BOKF,BOK Financial Corporation Common Stock
1142,BOLT,Bolt Biotherapeutics Inc. Common Stock
1143,BOMN,Boston Omaha Corporation Class A Common Stock
1144,BON,Bon Natural Life Limited Ordinary Shares
1145,BOOM,DMC Global Inc. Common Stock
1146,BOOT,Boot Barn Holdings Inc. Common Stock
1147,BORR,Borr Drilling Limited Common Shares
1148,BOSC,B.O.S. Better Online Solutions Common Stock
1149,BOTJ,Bank of the James Financial Group Inc. Common Stock
1150,BOWL,Bowlero Corp. Class A Common Stock
1151,BOX,Box Inc. Class A Common Stock
1152,BOXD,Boxed Inc. Common Stock
1153,BOXL,Boxlight Corporation Class A Common Stock
1154,BP,BP p.l.c. Common Stock
1155,BPACU,Bullpen Parlay Acquisition Company Unit
1156,BPMC,Blueprint Medicines Corporation Common Stock
1157,BPMP,BP Midstream Partners LP Common Units representing Limited Partner Interests
1158,BPOP,Popular Inc. Common Stock
1159,BPOPM,Popular Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities
1160,BPRN,The Bank of Princeton Common Stock
1161,BPT,BP Prudhoe Bay Royalty Trust Common Stock
1162,BPTH,Bio-Path Holdings Inc. Common Stock
1163,BPTS,Biophytis SA American Depositary Share
1164,BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1
1165,BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3
1166,BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2
1167,BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units
1168,BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares
1169,BR,Broadridge Financial Solutions Inc. Common Stock
1170,BRAG,Bragg Gaming Group Inc. Common Shares
1171,BRBR,BellRing Brands Inc. Class A Common Stock
1172,BRBS,Blue Ridge Bankshares Inc. Common Stock
1173,BRC,Brady Corporation Common Stock
1174,BRCN,Burcon NutraScience Corp. Common Stock
1175,BRDG,Bridge Investment Group Holdings Inc. Class A Common Stock
1176,BRDS,Bird Global Inc. Class A Common Stock
1177,BREZ,Breeze Holdings Acquisition Corp. Common Stock
1178,BREZR,Breeze Holdings Acquisition Corp. Right
1179,BREZW,Breeze Holdings Acquisition Corp. Warrant
1180,BRFS,BRF S.A.
1181,BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock
1182,BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock
1183,BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share)
1184,BRID,Bridgford Foods Corporation Common Stock
1185,BRIV,B. Riley Principal 250 Merger Corp. Class A common stock
1186,BRIVU,B. Riley Principal 250 Merger Corp. Units
1187,BRIVW,B. Riley Principal 250 Merger Corp. Warrant
1188,BRK/A,Berkshire Hathaway Inc.
1189,BRK/B,Berkshire Hathaway Inc.
1190,BRKHU,BurTech Acquisition Corp. Unit
1191,BRKL,Brookline Bancorp Inc. Common Stock
1192,BRKR,Bruker Corporation Common Stock
1193,BRLI,Brilliant Acquisition Corporation Ordinary Shares
1194,BRLIR,Brilliant Acquisition Corporation Rights
1195,BRLIW,Brilliant Acquisition Corporation Warrants
1196,BRLT,Brilliant Earth Group Inc. Class A Common Stock
1197,BRMK,Broadmark Realty Capital Inc. Common Stock
1198,BRN,Barnwell Industries Inc. Common Stock
1199,BRO,Brown & Brown Inc. Common Stock
1200,BROG,Brooge Energy Limited Ordinary Shares
1201,BROGW,Brooge Holdings Limited Warrant expiring 12/20/2024
1202,BROS,Dutch Bros Inc. Class A Common Stock
1203,BRP,BRP Group Inc. (Insurance Company) Class A Common Stock
1204,BRPM,B. Riley Principal 150 Merger Corp. Class A Common Stock
1205,BRPMU,B. Riley Principal 150 Merger Corp. Unit
1206,BRPMW,B. Riley Principal 150 Merger Corp. Warrant
1207,BRQS,Borqs Technologies Inc. Ordinary Shares
1208,BRSP,BrightSpire Capital Inc. Class A Common Stock
1209,BRT,BRT Apartments Corp. (MD) Common Stock
1210,BRTX,BioRestorative Therapies Inc. Common Stock
1211,BRW,Saba Capital Income & Opportunities Fund SBI
1212,BRX,Brixmor Property Group Inc. Common Stock
1213,BRY,Berry Corporation (bry) Common Stock
1214,BRZE,Braze Inc. Class A Common Stock
1215,BSA,BrightSphere Investment Group Inc. 5.125% Notes due 2031
1216,BSAC,Banco Santander - Chile ADS
1217,BSAQ,Black Spade Acquisition Co Class A Ordinary Shares
1218,BSBK,Bogota Financial Corp. Common Stock
1219,BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit
1220,BSET,Bassett Furniture Industries Incorporated Common Stock
1221,BSFC,Blue Star Foods Corp. Common Stock
1222,BSGA,Blue Safari Group Acquisition Corp. Class A Ordinary Share
1223,BSGAR,Blue Safari Group Acquisition Corp. Right
1224,BSGAU,Blue Safari Group Acquisition Corp. Unit
1225,BSGM,BioSig Technologies Inc. Common Stock
1226,BSIG,BrightSphere Investment Group Inc. Common Stock
1227,BSKY,Big Sky Growth Partners Inc. Class A Common Stock
1228,BSKYU,Big Sky Growth Partners Inc. Unit
1229,BSL,Blackstone Senior Floating Rate Term Fund Common Shares of Beneficial Interest
1230,BSM,Black Stone Minerals L.P. Common units representing limited partner interests
1231,BSMX,Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico
1232,BSQR,BSQUARE Corporation Common Stock
1233,BSRR,Sierra Bancorp Common Stock
1234,BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest
1235,BSTZ,BlackRock Science and Technology Trust II Common Shares of Beneficial Interest
1236,BSVN,Bank7 Corp. Common stock
1237,BSX,Boston Scientific Corporation Common Stock
1238,BSX^A,Boston Scientific Corporation 5.50% Mandatory Convertible Preferred Stock Series A
1239,BSY,Bentley Systems Incorporated Class B Common Stock
1240,BTA,BlackRock Long-Term Municipal Advantage Trust BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial Interest
1241,BTAI,BioXcel Therapeutics Inc. Common Stock
1242,BTAQ,Burgundy Technology Acquisition Corporation Class A Ordinary shares
1243,BTAQU,Burgundy Technology Acquisition Corporation Unit
1244,BTAQW,Burgundy Technology Acquisition Corporation Warrant
1245,BTB,Bit Brother Limited Ordinary Shares
1246,BTBD,BT Brands Inc. Common Stock
1247,BTBDW,BT Brands Inc. Warrant
1248,BTBT,Bit Digital Inc. Ordinary Shares
1249,BTCM,BIT Mining Limited ADS
1250,BTCS,BTCS Inc. Common Stock
1251,BTCY,Biotricity Inc. Common Stock
1252,BTG,B2Gold Corp Common shares (Canada)
1253,BTI,British American Tobacco  Industries p.l.c. Common Stock ADR
1254,BTN,Ballantyne Strong Inc. Common Stock
1255,BTNB,Bridgetown 2 Holdings Limited Class A Ordinary Shares
1256,BTO,John Hancock Financial Opportunities Fund Common Stock
1257,BTRS,BTRS Holdings Inc. Class 1 Common Stock
1258,BTRSW,BTRS Holdings Inc. Warrants
1259,BTT,BlackRock Municipal 2030 Target Term Trust
1260,BTTR,Better Choice Company Inc. Common Stock
1261,BTTX,Better Therapeutics Inc. Common Stock
1262,BTU,Peabody Energy Corporation Common Stock 
1263,BTWN,Bridgetown Holdings Limited Class A Ordinary Shares
1264,BTWNU,Bridgetown Holdings Limited Units
1265,BTWNW,Bridgetown Holdings Limited Warrants
1266,BTX,Brooklyn ImmunoTherapeutics Inc. Common Stock
1267,BTZ,BlackRock Credit Allocation Income Trust
1268,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium)
1269,BUI,BlackRock Utility Infrastructure & Power Opportunities Trust
1270,BUR,Burford Capital Limited Ordinary Shares
1271,BURL,Burlington Stores Inc. Common Stock
1272,BUSE,First Busey Corporation Class A Common Stock
1273,BV,BrightView Holdings Inc. Common Stock
1274,BVH,Bluegreen Vacations Holding Corporation Class A Common Stock
1275,BVN,Buenaventura Mining Company Inc.
1276,BVS,Bioventus Inc. Class A Common Stock
1277,BVXV,BiondVax Pharmaceuticals Ltd. American Depositary Shares
1278,BW,Babcock & Wilcox Enterprises Inc. Common Stock
1279,BW^A,Babcock & Wilcox Enterprises Inc. 7.75% Series A Cumulative Perpetual Preferred Stock
1280,BWA,BorgWarner Inc. Common Stock
1281,BWAC,Better World Acquisition Corp. Common Stock
1282,BWACU,Better World Acquisition Corp. Unit
1283,BWACW,Better World Acquisition Corp. Warrants
1284,BWAY,BrainsWay Ltd. American Depositary Shares
1285,BWB,Bridgewater Bancshares Inc. Common Stock
1286,BWC,Blue Whale Acquisition Corp I Class A Ordinary Shares
1287,BWCAU,Blue Whale Acquisition Corp I Unit
1288,BWCAW,Blue Whale Acquisition Corp I Warrant
1289,BWEN,Broadwind Inc. Common Stock
1290,BWFG,Bankwell Financial Group Inc. Common Stock
1291,BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.
1292,BWMN,Bowman Consulting Group Ltd. Common Stock
1293,BWMX,Betterware de Mexico S.A.B. de C.V. Ordinary Shares
1294,BWNB,Babcock & Wilcox Enterprises Inc. 6.50% Senior Notes due 2026
1295,BWSN,Babcock & Wilcox Enterprises Inc. 8.125% Senior Notes due 2026
1296,BWXT,BWX Technologies Inc. Common Stock
1297,BX,Blackstone Inc. Common Stock
1298,BXC,Bluelinx Holdings Inc. Common Stock
1299,BXMT,Blackstone Mortgage Trust Inc. Common Stock
1300,BXMX,Nuveen S&P 500 Buy-Write Income Fund Common Shares of Beneficial Interest
1301,BXP,Boston Properties Inc. Common Stock
1302,BXRX,Baudax Bio Inc. Common Stock
1303,BXSL,Blackstone Secured Lending Fund Common Shares of Beneficial Interest
1304,BY,Byline Bancorp Inc. Common Stock
1305,BYD,Boyd Gaming Corporation Common Stock
1306,BYFC,Broadway Financial Corporation Common Stock
1307,BYM,Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest
1308,BYND,Beyond Meat Inc. Common Stock
1309,BYRN,Byrna Technologies Inc. Common Stock
1310,BYSI,BeyondSpring Inc. Ordinary Shares
1311,BYTS,BYTE Acquisition Corp. Class A Ordinary Shares
1312,BYTSU,BYTE Acquisition Corp. Units
1313,BZ,KANZHUN LIMITED American Depository Shares
1314,BZFD,BuzzFeed Inc. Class A Common Stock
1315,BZFDW,BuzzFeed Inc. Warrant
1316,BZH,Beazer Homes USA Inc. Common Stock
1317,BZUN,Baozun Inc. American Depositary Shares
1318,C,Citigroup Inc. Common Stock
1319,C^J,Citigroup Inc. Dep Shs Repstg 1/1000 Pfd Ser J Fixed/Fltg
1320,C^K,Citigroup Inc. Dep Shs Repstg 1/1000th Pfd Ser K
1321,C^N,Citigroup Capital XIII 7.875% Fixed rate Floating Rate trust Preferred Securities (TruPS)
1322,CAAP,Corporacion America Airports SA Common Shares
1323,CAAS,China Automotive Systems Inc. Common Stock
1324,CABA,Cabaletta Bio Inc. Common Stock
1325,CABO,Cable One Inc. Common Stock
1326,CAC,Camden National Corporation Common Stock
1327,CACC,Credit Acceptance Corporation Common Stock
1328,CACI,CACI International Inc. Class A Common Stock
1329,CADE,Cadence Bank Common Stock
1330,CADE^A,Cadence Bank 5.50% Series A 
1331,CADL,Candel Therapeutics Inc. Common Stock
1332,CAE,CAE Inc. Ordinary Shares
1333,CAF,Morgan Stanley China A Share Fund Inc. Common Stock
1334,CAG,ConAgra Brands Inc. Common Stock
1335,CAH,Cardinal Health Inc. Common Stock
1336,CAJ,Canon Inc. American Depositary Shares
1337,CAKE,Cheesecake Factory Incorporated (The) Common Stock
1338,CAL,Caleres Inc. Common Stock
1339,CALA,Calithera Biosciences Inc. Common Stock
1340,CALB,California BanCorp Common Stock
1341,CALM,Cal-Maine Foods Inc. Common Stock
1342,CALT,Calliditas Therapeutics AB American Depositary Shares
1343,CALX,Calix Inc Common Stock
1344,CAMP,CalAmp Corp. Common Stock
1345,CAMT,Camtek Ltd. Ordinary Shares
1346,CAN,Canaan Inc. American Depositary Shares
1347,CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel)
1348,CANG,Cango Inc. American Depositary Shares  each representing two (2) Class A Ordinary Shares
1349,CANO,Cano Health Inc. Class A Common Stock
1350,CAPL,CrossAmerica Partners LP Common Units representing limited partner interests
1351,CAPR,Capricor Therapeutics Inc. Common Stock
1352,CAR,Avis Budget Group Inc. Common Stock
1353,CARA,Cara Therapeutics Inc. Common Stock
1354,CARE,Carter Bankshares Inc. Common Stock
1355,CARG,CarGurus Inc. Class A Common Stock 
1356,CARR,Carrier Global Corporation Common Stock 
1357,CARS,Cars.com Inc. Common Stock 
1358,CARV,Carver Bancorp Inc. Common Stock
1359,CAS,Cascade Acquisition Corp. Class A Common Stock
1360,CASA,Casa Systems Inc. Common Stock
1361,CASH,Meta Financial Group Inc. Common Stock
1362,CASI,CASI Pharmaceuticals Inc. Common Stock
1363,CASS,Cass Information Systems Inc Common Stock
1364,CASY,Casey's General Stores Inc. Common Stock
1365,CAT,Caterpillar Inc. Common Stock
1366,CATC,Cambridge Bancorp Common Stock
1367,CATO,Cato Corporation (The) Class A Common Stock
1368,CATY,Cathay General Bancorp Common Stock
1369,CB,Chubb Limited  Common Stock
1370,CBAN,Colony Bankcorp Inc. Common Stock
1371,CBAT,CBAK Energy Technology Inc. Common Stock
1372,CBAY,CymaBay Therapeutics Inc. Common Stock
1373,CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share
1374,CBFV,CB Financial Services Inc. Common Stock
1375,CBH,Virtus AllianzGI Convertible & Income 2024 Target Term Fund Common Shares of Beneficial Interest
1376,CBIO,Catalyst Biosciences Inc. Common Stock
1377,CBL,CBL & Associates Properties Inc. Common Stock
1378,CBNK,Capital Bancorp Inc. Common Stock
1379,CBOE,Cboe Global Markets Inc. Common Stock
1380,CBRE,CBRE Group Inc Common Stock Class A
1381,CBRGU,Chain Bridge I Units
